Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,State,Temperature(F),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Duration_Minutes
3,2016-02-08 05:46:00,2016-02-08 11:00:00,39.865147,-84.058723,0.01,Dayton,OH,36.9,29.68,10.0,7.0,0.02,Light Rain,314.0
2,2016-02-08 06:07:59,2016-02-08 06:37:59,39.92805900000001,-82.831184,0.01,Reynoldsburg,OH,37.9,29.65,10.0,7.0,0.0,Light Rain,30.0
2,2016-02-08 06:49:27,2016-02-08 07:19:27,39.063148,-84.032608,0.01,Williamsburg,OH,36.0,29.67,10.0,3.5,0.0,Overcast,30.0
3,2016-02-08 07:23:34,2016-02-08 07:53:34,39.747753,-84.20558199999998,0.01,Dayton,OH,35.1,29.64,9.0,4.6,0.0,Mostly Cloudy,30.0
2,2016-02-08 07:39:07,2016-02-08 08:09:07,39.627781,-84.188354,0.01,Dayton,OH,36.0,29.65,6.0,3.5,0.0,Mostly Cloudy,30.0
3,2016-02-08 07:44:26,2016-02-08 08:14:26,40.10059,-82.92519399999998,0.01,Westerville,OH,37.9,29.63,7.0,3.5,0.03,Light Rain,30.0
2,2016-02-08 07:59:35,2016-02-08 08:29:35,39.758274,-84.23050699999997,0.0,Dayton,OH,34.0,29.66,7.0,3.5,0.0,Overcast,30.0
3,2016-02-08 07:59:58,2016-02-08 08:29:58,39.770382,-84.194901,0.01,Dayton,OH,34.0,29.66,7.0,3.5,0.0,Overcast,30.0
2,2016-02-08 08:00:40,2016-02-08 08:30:40,39.778061,-84.172005,0.0,Dayton,OH,33.3,29.67,5.0,1.2,0.0,Mostly Cloudy,30.0
3,2016-02-08 08:10:04,2016-02-08 08:40:04,40.10059,-82.92519399999998,0.01,Westerville,OH,37.4,29.62,3.0,4.6,0.02,Light Rain,30.0
3,2016-02-08 08:14:42,2016-02-08 08:44:42,39.952812,-83.119293,0.01,Columbus,OH,35.6,29.64,5.0,5.8,0.0,Rain,30.0
3,2016-02-08 08:21:27,2016-02-08 08:51:27,39.932709,-82.83091,0.01,Reynoldsburg,OH,37.4,29.62,3.0,4.6,0.02,Light Rain,30.0
2,2016-02-08 08:36:34,2016-02-08 09:06:34,39.737633,-84.14993299999998,0.0,Dayton,OH,33.8,29.63,3.0,2.3,0.0,Overcast,30.0
2,2016-02-08 08:37:07,2016-02-08 09:07:07,39.79076,-84.241547,0.01,Dayton,OH,36.0,29.65,10.0,5.8,0.0,Mostly Cloudy,30.0
